Name,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
Cool Lime Starbucks Refreshers,45,0,11,0,0,10
Strawberry Acai Starbucks Refreshers,80,0,18,1,0,10
Very Berry Hibiscus Starbucks Refreshers,60,0,14,1,0,10
Violet Drink,80,2,25,0,4,15
Evolution Fresh Organic Ginger Limeade,110,0,28,0,0,5
Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5,65
Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5,90
Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5,65
Shaken Sweet Tea,80,0,19,0,0,10
Bottled Berry Blossom White,60,0,15,0,0,10
Bottled Black Mango,150,0,38,0,0,15
Bottled Black with Lemon,140,0,35,0,0,10
Bottled Brambleberry,140,0,35,0,0,15
Bottled Giant Peach,150,0,37,0,0,15
